@timestamp	nginx.access.remote_ip_list	Allowed
"July 2nd 2018, 07:20:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:20:03.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:20:03.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:20:03.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:20:02.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:20:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:20:01.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:20:00.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:20:00.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:59.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:59.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:58.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:58.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:58.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:58.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:57.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:57.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:56.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:56.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:56.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:56.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:56.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:55.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:55.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:55.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:54.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:54.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:54.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:53.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:53.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:53.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:53.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:52.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:52.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:51.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:51.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:50.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:50.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:50.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:50.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:49.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:48.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:47.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:47.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:46.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:46.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:46.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:45.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:44.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:44.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:43.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:42.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:42.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:41.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:41.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:39.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:38.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:37.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:37.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:36.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:35.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:35.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:35.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:35.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:35.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:34.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:34.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:32.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:30.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:30.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:29.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:29.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:29.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:28.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:28.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:28.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:28.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:27.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:26.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:26.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:25.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:24.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:23.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:22.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:22.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:20.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:19.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:19.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:16.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:16.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:16.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:15.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:15.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:14.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:14.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:13.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:13.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:12.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:12.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:11.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:10.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:07.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:07.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:06.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:06.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:05.000"	"[""34.206.40.30""]"	no
